SYMBOL,SECTOR
ASTRAL,Industrials
ASTRAMICRO,Technology
ASTRAZEN,Healthcare
ASTRON,Basic Materials
ATALREAL,Industrials
ATAM,Industrials
ATGL,Utilities
ATHERENERG,Consumer Cyclical
ATL,Industrials
ATLANTAA,Industrials
ATLANTAELE,Industrials
ATLASCYCLE,Consumer Cyclical
ATUL,Basic Materials
ATULAUTO,Consumer Cyclical
AUBANK,Financial Services
AURIGROW,Industrials
AURIONPRO,Technology
AUROPHARMA,Healthcare
AURUM,Real Estate
AUSOMENT,Financial Services
AUTOAXLES,Consumer Cyclical
AUTOIND,Consumer Cyclical
AVADHSUGAR,Consumer Defensive
AVAILFC,Unknown
AVALON,Technology
AVANTEL,Technology
AVANTIFEED,Consumer Defensive
AVG,Industrials
AVL,Consumer Cyclical
AVONMORE,Financial Services
AVROIND,Consumer Cyclical
AVTNPL,Basic Materials
AWFIS,Industrials
AWHCL,Industrials
AWL,Consumer Defensive
AXISBANK,Financial Services
AXISCADES,Industrials
AXITA,Consumer Cyclical
AYE,Financial Services
AYMSYNTEX,Consumer Cyclical
AZAD,Industrials
BAFNAPH,Healthcare
BAGFILMS,Communication Services
BAIDFIN,Financial Services
BAJAJ-AUTO,Consumer Cyclical
BAJAJCON,Consumer Defensive
BAJAJELEC,Consumer Cyclical
BAJAJFINSV,Financial Services
BAJAJHCARE,Healthcare
BAJAJHFL,Financial Services
BAJAJHIND,Consumer Defensive
BAJAJHLDNG,Financial Services
BAJAJINDEF,Industrials
BAJAJST,Unknown
BAJEL,Utilities
BAJFINANCE,Financial Services
BALAJEE,Consumer Cyclical
BALAJITELE,Communication Services
BALAMINES,Basic Materials
BALAXI,Healthcare
BALKRISHNA,Consumer Cyclical
BALKRISIND,Consumer Cyclical
BALMLAWRIE,Industrials
BALPHARMA,Healthcare
BALRAMCHIN,Consumer Defensive
BALUFORGE,Industrials
BANARBEADS,Consumer Cyclical
BANARISUG,Consumer Defensive
BANCOINDIA,Consumer Cyclical
BANDHANBNK,Financial Services
BANG,Consumer Cyclical
BANKA,Industrials
BANKBARODA,Financial Services
BANKINDIA,Financial Services
BANSALWIRE,Basic Materials
BANSWRAS,Consumer Cyclical
BASF,Basic Materials
BASML,Consumer Cyclical
BATAINDIA,Consumer Cyclical
BATLIBOI,Industrials
BAYERCROP,Basic Materials
BBL,Industrials
BBOX,Technology
BBTC,Consumer Defensive
BBTCL,Consumer Cyclical
BCG,Communication Services
BCLIND,Consumer Defensive
BCONCEPTS,Consumer Cyclical
BCPL,Industrials
BDL,Industrials
BEARDSELL,Industrials
BECTORFOOD,Consumer Defensive
BEDMUTHA,Basic Materials
BEEKAY,Unknown
BEL,Industrials
BELLACASA,Consumer Cyclical
BELRISE,Consumer Cyclical
BEML,Industrials
BENGALASM,Unknown
BEPL,Basic Materials
BERGEPAINT,Basic Materials
BESTAGRO,Basic Materials
BETA,Healthcare
BFINVEST,Financial Services
BFUTILITIE,Industrials
BGLOBAL,Technology
BGRENERGY,Industrials
BHAGCHEM,Basic Materials
BHAGERIA,Basic Materials
BHAGYANGR,Basic Materials
BHANDARI,Consumer Cyclical
BHARATCOAL,Basic Materials
BHARATFORG,Consumer Cyclical
BHARATGEAR,Consumer Cyclical
BHARATRAS,Basic Materials
BHARATSE,Consumer Cyclical
BHARATWIRE,Basic Materials
BHARTIARTL,Communication Services
BHARTIHEXA,Communication Services
BHEL,Industrials
BI,Unknown
BIGBLOC,Industrials
BIKAJI,Consumer Defensive
BIL,Consumer Cyclical
BILVYAPAR,Basic Materials
BIMETAL,Consumer Cyclical
BIOCON,Healthcare
BIOFILCHEM,Healthcare
BIRLACABLE,Technology
BIRLACORPN,Basic Materials
BIRLAMONEY,Financial Services
BIRLANU,Industrials
BIRLAPREC,Unknown
BLACKBUCK,Technology
BLACKROSE,Unknown
BLAL,Financial Services
BLBLIMITED,Financial Services
BLIL,Unknown
BLISSGVS,Healthcare
BLKASHYAP,Industrials
BLS,Industrials
BLSE,Industrials
BLUECHIP,Financial Services
BLUECOAST,Consumer Cyclical
BLUEDART,Industrials
BLUEJET,Healthcare
BLUESTARCO,Industrials
BLUESTONE,Consumer Cyclical
BLUSPRING,Industrials
BMWVENTLTD,Basic Materials
BNAGROCHEM,Unknown
BNALTD,Unknown
BODALCHEM,Basic Materials
BOHRAIND,Basic Materials
BOMDYEING,Consumer Cyclical
BONLON,Basic Materials
BORANA,Consumer Cyclical
BOROLTD,Consumer Cyclical
BORORENEW,Technology
BOROSCI,Consumer Cyclical
BOSCH-HCIL,Consumer Cyclical
BOSCHLTD,Consumer Cyclical
BPCL,Energy
BPL,Technology
BRIGADE,Real Estate
BRIGHOTEL,Consumer Cyclical
BRITANNIA,Consumer Defensive
BRNL,Industrials
BROOKS,Healthcare
BSE,Financial Services
BSHSL,Basic Materials
BSL,Consumer Cyclical
BSOFT,Technology
BTML,Communication Services
BTTL,Consumer Cyclical
BUILDPRO,Consumer Cyclical
BUTTERFLY,Consumer Cyclical
BVCL,Basic Materials
BYKE,Consumer Cyclical
CALSOFT,Technology
CAMLINFINE,Basic Materials
CAMPUS,Consumer Cyclical
CAMS,Technology
CANBK,Financial Services
CANFINHOME,Financial Services
CANHLIFE,Financial Services
CANTABIL,Consumer Cyclical
CAPACITE,Industrials
CAPILLARY,Technology
CAPITALSFB,Financial Services
CAPLIPOINT,Healthcare
CAPTRUST,Financial Services
CARBORUNIV,Industrials
CARERATING,Financial Services
CARRARO,Consumer Cyclical
CARTRADE,Consumer Cyclical
CARYSIL,Consumer Cyclical
CASTROLIND,Energy
CCAVENUE,Technology
CCCL,Industrials
CCHHL,Consumer Cyclical
CCL,Consumer Defensive
CDSL,Financial Services
CEATLTD,Consumer Cyclical
CEIGALL,Industrials
CEINSYS,Industrials
CELEBRITY,Consumer Cyclical
CELLO,Consumer Cyclical
CEMPRO,Industrials
CENTENKA,Consumer Cyclical
CENTEXT,Basic Materials
CENTRALBK,Financial Services
CENTRUM,Financial Services
CENTUM,Technology
CENTURYPLY,Basic Materials
CERA,Industrials
CEREBRAINT,Industrials
CESC,Utilities
CEWATER,Utilities
CGCL,Financial Services
CGPOWER,Industrials
CHALET,Consumer Cyclical
CHAMBLFERT,Basic Materials
CHEMBOND,Basic Materials
CHEMBONDCH,Basic Materials
